Country Name,Hospital Name,Total No. of Patients,Cardiovascular,Cancer,Endocrinology and metabolic diseases,Neurological diseases,Mental health and behavioral disorders,Infectious diseases,Dermatology,Gastroenterology,Hematology and coagulation,Renal disease,Rheumatology,Urologic
Mexico,Grupo Médica Sur,25582,2228,1026,1316,3101,2111,2950,1280,2614,5296,2376,3840,1088
Bangladesh,Apollo Hospital Dhaka,36851,3262,2018,2391,1807,3351,3821,1682,2783,2168,2245,1737,2226
Japan,National Hospital Organization,45308,3798,3610,4287,1761,1905,897,3416,3972,4662,3387,2533,701
South Africa,Netcare Group,42236,3758,4019,4690,2965,2158,2241,2338,5413,1842,1207,2515,3877
Germany,University Clinic Heidelberg,24485,730,969,1616,1638,1937,3274,1687,3188,1492,3104,3705,1995
Israel,Tel Aviv Sourasky Medical Center,44533,3338,4319,5101,2839,2786,3613,2213,4024,1527,4840,1660,3374
Italy,Istituto Oncologico Veneto,35436,4412,4642,1907,3252,3366,1978,3577,3673,4927,1722,2747,4690
France,Assistance Publique Hôpitaux de Paris,34762,4877,1685,3738,3204,2538,2577,2491,4013,3325,2440,3095,3374
United States,Cleveland Clinic,39705,5552,700,3799,2869,3136,1743,3934,3989,1908,3293,5178,3103
Italy,Istituto Oncologico Veneto,28074,3151,1589,2127,1558,1674,1607,4271,2889,2697,4797,1739,3807
Israel,Tel Aviv Sourasky Medical Center,30562,1655,3807,3543,861,4743,3997,3748,3486,4536,2647,431,3035
Bangladesh,Apollo Hospital Dhaka,34849,3665,2998,3444,2670,1926,2519,1164,2729,3211,1634,3457,3110
United Arab Emirates,American Hospital,31596,2709,3202,1563,2599,3152,1805,3512,4087,3078,3193,3847,1717
Argentina,The Hospital Italiano de Buenos Aires,27329,445,1983,904,2376,2047,2156,2537,2590,3035,3692,3288,1665
Russia,Russian Children's Hospital Moscow,34888,5233,3198,1941,987,2659,4816,3338,2154,2328,1236,3982,1845
Germany,University Clinic Heidelberg,31612,3650,4098,4362,2377,2901,1210,2127,3808,2028,4132,2432,3799
Italy,Istituto Oncologico Veneto,42394,2937,4461,4839,3088,2831,2601,3740,4171,4025,1584,3421,1939
Brazil,INCA Instituto Nacional de Câncer,31314,1139,1955,3565,3240,2619,2163,4098,4655,1403,1513,1101,2119
Israel,Tel Aviv Sourasky Medical Center,24203,4738,2930,3503,660,3370,4895,3248,823,4200,2654,2300,2571
Japan,National Hospital Organization,39235,1904,1704,1982,693,4254,1564,5727,3152,3100,4173,1068,1789
France,Assistance Publique Hôpitaux de Paris,40994,3101,920,4130,3888,1458,2955,3616,3437,1785,4506,3147,5123
Germany,University Clinic Heidelberg,31321,1200,4195,3289,2752,2511,2334,2047,5750,1584,3628,5321,4408
Argentina,The Hospital Italiano de Buenos Aires,32920,1301,1640,3264,3272,4421,2546,2090,2597,2927,2179,3648,2295
Japan,National Hospital Organization,30945,2172,1569,929,879,3645,2100,5533,4049,2465,4427,-248,3073
Russia,Russian Children's Hospital Moscow,40601,1897,3091,3942,1360,4702,3730,4379,1776,3293,2505,2789,3177
France,Assistance Publique Hôpitaux de Paris,30956,2549,2668,3262,3369,2946,2545,3114,3834,4832,2509,4074,1962
United Arab Emirates,American Hospital,32971,1588,4781,2638,4030,2017,1635,4816,4208,3530,3231,4485,1742
Russia,Russian Children's Hospital Moscow,36411,1236,1344,3001,3362,4610,1987,2864,3585,1767,2022,3766,2400
India,AIIMS Delhi,33800,829,1404,2788,1552,1971,2749,2815,3033,2888,2356,1168,844
Germany,University Clinic Heidelberg,37988,1897,2367,2087,2519,1629,2195,1224,4908,2872,4699,2667,1033
