Country Name,Total No. of Patients,Cardiovascular,Cancer,Endocrinology and metabolic diseases,Neurological diseases,Mental health and behavioral disorders,Infectious diseases,Dermatology,Gastroenterology,Hematology and coagulation,Renal disease,Rheumatology,Urologic
Mexico,25581.75642783458,2228.1465055563554,1025.6214104155777,1316.4100972826268,3101.008773454674,2110.747951244215,2950.057346937603,1280.1453448792333,2613.5746168808705,5296.49578761862,2375.7919838368857,3839.849656076968,1088.1198860548336
Bangladesh,36850.6615332188,3262.3985315681193,2018.3798944238465,2391.0987442357755,1806.588228796055,3351.170908286672,3821.232126020071,1682.0576237791759,2783.341272352186,2168.4790465595433,2245.241634808078,1736.7076204147618,2226.367634323572
Japan,45307.96394531426,3798.3944582746653,3609.5576583039824,4286.52590812494,1760.7277967197472,1905.0252425993747,897.4386170866185,3415.6857410111193,3972.4098757658417,4662.3847583566,3387.2089031004134,2532.711657627818,701.2326172522987
South Africa,42236.257227141716,3757.9954136602973,4019.4253313906984,4689.518753055511,2964.702208886382,2157.6328886917217,2240.8627308666073,2338.054746286861,5412.536568763897,1841.6749457970784,1207.014860247696,2514.698898065528,3876.7993194859946
Germany,24485.301635961012,730.3284491267901,968.5170952239162,1615.9490137075559,1637.9093266670188,1936.7227572856966,3273.604136800594,1687.2499678215377,3187.828135775838,1492.4133717885607,3104.4649262119174,3705.3359994733146,1995.2051624325866
Israel,44532.839626125126,3337.8458404592093,4319.14073358239,5100.795751415964,2838.7536050240697,2786.4072365101706,3612.7287073582,2212.521967981058,4024.3411744802547,1527.0502027231441,4840.347163996393,1659.538302366343,3373.8188657283213
Italy,35435.53480596935,4411.868185518837,4641.85576177227,1906.7768787179796,3251.6050377755287,3365.5488170114036,1977.8657417289364,3577.3433835531728,3673.382938483983,4927.444739077811,1721.768213077399,2747.4606557444345,4689.897721463889
France,34762.03432817905,4876.84172201611,1685.0479509142444,3738.358799318235,3204.263668273156,2537.9819726140036,2576.7574695875733,2490.5719160321655,4012.7236259967403,3324.89572473568,2439.8030805759995,3094.799274010841,3374.184688101353
United States,39704.770991866666,5551.52339191876,699.5627816129224,3798.536969095025,2868.8352764939677,3135.5187218712763,1742.6290594745692,3934.100829868839,3988.940162812172,1907.8299693094136,3292.6389723925886,5177.720849002647,3103.3324113889157
Italy,28073.875855003967,3151.287164154531,1588.757169806849,2126.823909064845,1558.0870074068412,1674.2189718494276,1607.144531969788,4270.655740846885,2889.0527828978584,2696.857140459421,4797.445319072858,1738.5200204044677,3807.1519562214526
Israel,30562.350833262175,1654.7006684444868,3807.2647316276984,3542.9253791919327,861.0685700777967,4742.810719209362,3996.680853987478,3747.988864810483,3485.9086420389563,4535.710280237793,2646.589025051238,430.8087507059909,3034.6150105943557
Bangladesh,34848.869679230476,3665.0488088958205,2997.6668446489557,3443.735494885802,2670.203932857762,1926.0552242394415,2519.087499154104,1164.073215200649,2729.0646458237834,3210.9866992826737,1634.295157699186,3456.786739074509,3110.2188904628333
United Arab Emirates,31595.882451241192,2708.9061191472515,3202.31248625145,1563.0221194542485,2599.023022335882,3152.1542078821185,1804.7337919520412,3511.5135879108893,4087.463017305228,3077.650923218895,3192.676268764762,3847.2198954406063,1716.858407640082
Argentina,27329.369021369137,444.57844536374637,1982.6781614140898,903.5788549462053,2375.7105477510595,2047.3353748096144,2155.8984012352216,2537.1030621294844,2590.046253337185,3035.0802215140347,3692.1296121219757,3288.446261513725,1664.9036693074636
